EVTERM;Start
01.07.2020;2250.044521
22.10.2020;2250.644521
22.10.2020;2251.244521
21.10.2020;2253.244521
21.10.2020;2253.994521
21.10.2020;2254.594521
26.06.2020;2258.594521
25.08.2020;2263.228896
10.08.2020;2267.028896
24.06.2020;2268.078896
23.06.2020;2268.662229
07.09.2020;2275.248896
04.08.2020;2281.248896
11.09.2020;2286.998896
13.08.2020;2292.582229
20.08.2020;2297.248896
08.01.2021;2302.332229
08.07.2020;2311.165562
24.08.2020;2319.332229
14.07.2020;2320.519729
23.09.2020;2324.012229
19.04.2021;2329.178896
06.08.2020;2330.962229
09.11.2020;2337.712229
21.08.2020;2338.520562
21.08.2020;2340.137229
14.07.2020;2373.637229
12.08.2020;2407.137229
05.10.2020;2440.637229
09.02.2021;2474.137229
27.01.2021;2507.637229
10.09.2020;2508.237229
11.08.2020;2516.237229
04.08.2020;2516.813812
05.08.2020;2517.403812
10.08.2020;2519.020479
05.08.2020;2520.765479
28.07.2020;2521.682146
28.07.2020;2522.598813
06.08.2020;2524.140479
16.07.2020;2531.390479
10.08.2020;2533.677979
05.08.2020;2534.427979
03.08.2020;2542.627979
25.09.2020;2543.994646
05.08.2020;2549.994646
07.08.2020;2552.994646
20.08.2020;2553.750396
05.08.2020;2554.333729
04.08.2020;2555.208729
05.08.2020;2555.903729
05.08.2020;2556.437063
03.08.2020;2581.020396
26.11.2020;2618.187063
11.08.2020;2642.770396
24.09.2020;2679.937063
17.09.2020;2680.687063
21.08.2020;2681.599563
15.09.2020;2682.924563
12.08.2020;2694.924563
17.09.2020;2706.924563
18.08.2020;2707.524563
02.10.2020;2708.691229
09.11.2020;2712.183729
01.09.2020;2719.433729
19.08.2020;2722.683729
18.08.2020;2727.850396
02.09.2020;2729.267063
20.08.2020;2730.642063
27.08.2020;2755.225396
21.10.2020;2792.392063
28.08.2020;2794.267063
12.10.2020;2795.017063
14.09.2020;2801.767063
10.09.2020;2803.308729
10.09.2020;2804.850396
18.09.2020;2807.137896
25.09.2020;2808.137896
06.10.2020;2808.671229
15.10.2020;2809.821229
17.09.2020;2810.346229
10.09.2020;2811.041229
17.09.2020;2811.574563
07.09.2020;2820.074563
14.09.2020;2822.824563
10.09.2020;2823.824563
26.10.2020;2824.824563
19.10.2020;2825.774563
19.10.2020;2826.341229
14.09.2020;2827.341229
20.10.2020;2827.907896
24.09.2020;2833.907896
04.09.2020;2846.391229
06.10.2020;2861.557896
04.09.2020;2881.374563
22.10.2020;2911.207896
15.09.2020;2917.794563
05.10.2020;2923.794563
15.09.2020;2929.544563
11.09.2020;2942.027896
07.10.2020;2957.194563
08.09.2020;2977.011229
12.10.2020;3006.844563
15.09.2020;3026.661229
14.10.2020;3056.494563
17.09.2020;3058.036229
06.10.2020;3058.952896
21.09.2020;3064.119563
14.09.2020;3066.119563
04.11.2020;3068.269563
01.10.2020;3072.602896
01.10.2020;3073.702896
16.11.2020;3074.336229
06.10.2020;3076.336229
21.10.2020;3091.086229
28.10.2020;3103.086229
15.01.2021;3115.086229
22.03.2021;3127.086229
15.01.2021;3132.586229
01.10.2020;3145.069562
14.01.2021;3160.236229
05.10.2020;3160.961229
07.10.2020;3161.527896
08.10.2020;3171.027896
05.10.2020;3171.944563
01.04.2021;3174.944563
18.02.2021;3177.944563
29.09.2020;3178.527896
29.09.2020;3179.252896
11.01.2021;3182.745396
30.09.2020;3195.228729
28.10.2020;3210.395396
08.10.2020;3222.878729
14.01.2021;3238.045396
15.01.2021;3253.212063
16.10.2020;3273.028729
09.11.2020;3302.862063
20.10.2020;3322.678729
20.11.2020;3352.512063
05.12.2020;3357.146438
12.10.2020;3359.671438
06.10.2020;3390.271438
10.12.2020;3390.921438
21.10.2020;3391.521438
17.11.2020;3400.854771
12.10.2020;3401.704771
08.12.2020;3402.238104
05.03.2021;3405.730604
26.10.2020;3418.213938
19.01.2021;3433.380604
04.02.2021;3447.330604
04.03.2021;3464.330604
26.01.2021;3478.280604
18.02.2021;3495.280604
17.02.2021;3516.863938
05.11.2020;3536.680604
27.11.2020;3566.513938
09.11.2020;3586.330604
13.01.2021;3616.163938
10.11.2020;3635.980604
09.02.2021;3665.813938
10.02.2021;3667.313938
09.02.2021;3669.897271
17.11.2020;3672.647271
25.03.2021;3678.522271
16.12.2020;3684.772271
10.12.2020;3686.555604
26.10.2020;3688.338938
03.11.2020;3690.283938
19.11.2020;3693.033938
15.01.2021;3693.633938
10.03.2021;3695.133938
16.11.2020;3696.050604
25.11.2020;3701.217271
05.11.2020;3703.550604
04.11.2020;3704.600604
30.10.2020;3706.664104
08.12.2020;3711.564104
13.11.2020;3718.664104
21.01.2021;3722.314104
12.01.2021;3728.314104
06.01.2021;3734.064104
16.11.2020;3735.389104
09.11.2020;3736.414104
27.01.2021;3737.030771
18.11.2020;3739.280771
09.11.2020;3739.880771
17.11.2020;3742.030771
09.11.2020;3743.572438
16.11.2020;3760.197438
12.04.2021;3793.697438
23.03.2021;3809.354521
26.01.2021;3822.230188
22.02.2021;3837.887271
16.11.2020;3838.465604
15.01.2021;3838.998937
08.12.2020;3840.743937
18.02.2021;3841.660604
10.12.2020;3842.493937
09.12.2020;3849.080604
09.02.2021;3851.080604
15.01.2021;3858.330604
25.11.2020;3858.863937
08.12.2020;3859.588937
05.01.2021;3866.838937
10.12.2020;3870.088937
01.12.2020;3875.255604
10.12.2020;3877.255604
07.12.2020;3879.543104
05.05.2021;3883.035604
03.02.2021;3898.452271
11.03.2021;3917.285604
17.02.2021;3930.161417
15.03.2021;3945.818684
10.02.2021;3958.694351
09.03.2021;3974.351434
23.02.2021;3987.227101
26.03.2021;4002.884184
25.02.2021;4015.759851
17.03.2021;4031.416934
11.03.2021;4044.292601
24.03.2021;4059.949684
11.03.2021;4072.825351
06.04.2021;4088.482434
09.03.2021;4101.358101
01.04.2021;4117.015184
06.01.2021;4137.469392
09.02.2021;4165.252142
18.01.2021;4185.706351
03.03.2021;4213.489101
16.02.2021;4233.943309
04.05.2021;4261.726059
19.01.2021;4282.180267
01.03.2021;4309.963017
15.04.2021;4330.417226
06.05.2021;4358.199976
10.02.2021;4358.799976
08.12.2020;4360.124976
09.03.2021;4366.874976
